0,1,1,1
2,1,1,2
1,1,1,3
3,1,1,4
0,1,1,5
2,1,1,6
0,1,1,7
5,1,1,8
6,1,1,9
8,1,1,10
2,1,2,1
4,1,2,2
7,1,2,3
12,1,2,4
15,1,2,5
4,1,2,6
3,1,2,7
1,1,2,8
5,1,2,9
20,1,2,10
15,1,3,1
10,1,3,2
8,1,3,3
5,1,3,4
25,1,3,5
16,1,3,6
7,1,3,7
30,1,3,8
3,1,3,9
27,1,3,10
0,2,1,1
1,2,1,2
1,2,1,3
0,2,1,4
4,2,1,5
2,2,1,6
7,2,1,7
4,2,1,8
0,2,1,9
3,2,1,10
5,2,2,1
3,2,2,2
2,2,2,3
0,2,2,4
1,2,2,5
1,2,2,6
3,2,2,7
6,2,2,8
7,2,2,9
9,2,2,10
10,2,3,1
8,2,3,2
12,2,3,3
3,2,3,4
7,2,3,5
15,2,3,6
4,2,3,7
9,2,3,8
6,2,3,9
1,2,3,10
