90,82,4,4635,0,4266
384,13,20,17798,0,14391
157,66,5,5913,0,6615
676,64,26,7750,6,34144
165,55,5,5150,0,6120
300,65,10,12506,0,14552
108,82,4,7160,0,3040
276,23,11,5120,0,7881
420,18,20,11745,20,12600
950,71,62,21000,3,39448
560,74,26,11221,0,30000
268,56,13,7818,13,8088
290,76,9,4900,0,11315
173,21,6,5424,6,4461
323,24,11,11834,8,9000
162,19,5,5246,5,3828
353,62,20,11223,2,13680
134,70,4,5834,0,4680
187,19,8,9075,0,7392
155,57,4,5280,0,6030
93,82,4,6846,0,3840
110,50,4,4510,0,3092
573,10,14,11192,0,23704
79,82,4,7425,0,3876
272,82,5,7500,0,9542
